order_id,customer_id,product_id,seller_id,quantity,order_date,status
123,3,1,6,2,2025-03-06,Processing
124,9,14,9,2,2025-10-28,Delivered
125,43,13,3,1,2025-05-22,Delivered
126,70,5,3,1,2025-12-05,Delivered
127,2,6,4,3,2025-01-09,Delivered
128,7,3,7,1,2025-02-02,Shipped
129,100,6,9,1,2025-08-20,Processing
130,79,1,9,3,2025-08-23,Cancelled
131,8,8,7,4,2025-12-18,Delivered
132,92,15,8,1,2025-02-11,Delivered
133,19,2,3,3,2025-11-16,Cancelled
134,71,12,6,4,2025-11-02,Processing
135,59,9,10,4,2025-02-20,Cancelled
136,84,11,9,2,2025-08-09,Shipped
137,53,6,8,4,2025-08-01,Cancelled
138,41,7,6,3,2025-07-11,Delivered
139,9,2,2,1,2025-08-10,Delivered
140,17,9,1,3,2025-12-10,Delivered
141,46,14,7,1,2025-05-28,Processing
142,46,2,10,2,2025-03-21,Cancelled
143,29,14,2,3,2025-10-12,Delivered
144,98,5,10,2,2025-08-08,Processing
145,79,11,9,1,2025-11-08,Cancelled
146,4,3,5,3,2025-06-23,Delivered
147,24,14,3,4,2025-02-05,Delivered
148,12,12,9,2,2025-07-12,Shipped
149,44,3,6,3,2025-06-16,Processing
150,11,15,1,2,2025-03-22,Processing
